lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
CANG1,Carrollton,33.597222222222,-85.080277777778,0.2,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
FLPG1,Flippen,33.492777777778,-84.245,0.02,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
UNVT1,Unionville,35.6211111111111,-86.5863888888889,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
CTVG1,Cartersville,34.142777777778,-84.839166666667,0.11,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
HAWG1,Hawkinsville,32.280555555556,-83.461111111111,0.06,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
STHG1,Hapeville,33.678888888889,-84.358055555556,0.15,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
FRNG1,Franklin,33.278055555556,-85.100555555556,0.71,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
PRCG1,Atlanta,33.794166666667,-84.474444444444,0.2,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
ELKT1,Elkton,35.0363888888889,-86.8875,0.06,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
MCFG1,North Fayetteville,33.5413888888889,-84.4841666666667,0.09,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
LKPG1,Lake Kedron,33.4236111111111,-84.5777777777778,0.1,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
COOG1,Coosa 7SW,34.2016666666667,-85.4475,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
LPPG1,Lake Peachtree,33.3844444444444,-84.5736111111111,0.07,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
POWG1,Powder Springs,33.880833333333,-84.707222222222,0.15,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
BGLT1,BIG LICK,35.817222222222,-85.036111111111,0.02,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
VIXG1,Vinings Cobb Parkway,33.868055555556,-84.453888888889,0.04,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
