lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
PATN7,PATTERSON DCP,35.991388888889,-81.558333333333,0.03,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
HIWN7,HIWASSEE DAM,35.150797,-84.178608,1.0,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1595257900000,9999,9999,None
LABT1,Laurel Bloomery,36.5664,-81.7592,0.04,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1579294400000,9999,9999,None
WLMS1,WILLIAMSTON DCP,34.620555555556,-82.482222222222,0.18,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
CEU,OCONEE CO REG AP,34.671944444444,-82.886666666667,0.27,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
CHOG1,Choestoe,34.8,-83.9,0.39,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
PTGV2,PISTOL GAP VA,37.1333333333333,-81.9333333333333,0.08,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,1504246290000,9999,9999,None
DNGV2,CLINCH RIVER AT DUNGANNON,36.830555555556,-82.461388888889,0.6,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,1590258100000,9999,9999,None
FLTN7,FLETCHER 4 W CRN,35.418611111111,-82.556666666667,1.0,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
ELLN7,ELLENDALE 3 NE,35.945555555556,-81.236944444444,0.61,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
HKY,HICKORY REGIONAL AP,35.741111111111,-81.389444444444,0.64,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
VHXA1,Valley Head HCN-M,34.5652777777778,-85.6169444444444,0.05,PP,RG,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:35:00Z,9999,9999,9999,None
SWET1,SWEETWATER,35.5833333333333,-84.4666666666667,0.02,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1586238790000,9999,9999,None
SEWT1,Sewanee TVA,35.1969444444444,-85.9180555555556,0.08,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
ABBV2,ABBOTT IFLOWS,37.430555555556,-80.138333333333,0.04,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BALW2,BALLARD IFLOWS,37.475,-80.7616666666667,0.36,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
CSQG1,SOQUE RIVER AT GA 197 NR CLARKSVILLE,34.618611111111,-83.528888888889,0.03,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
PRIV2,PRILLIMAN IFLOWS,36.879166666667,-80.010277777778,0.04,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BAKN7,BAKERSVILLE,36.016388888889,-82.158888888889,0.03,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
RDFV2,RADFORD,37.141666666667,-80.569444444444,0.03,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
NATV2,NATURAL TUNNEL VA,36.712777777778,-82.7425,1.0,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,1590252100000,9999,9999,None
BWLW2,BRAMWELL IFLOWS,37.3186111111111,-81.3202777777778,0.31,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
PKRN7,PECKERWOOD RIDGE NC,35.186666666667,-84.196666666667,0.89,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:45:00Z,1595258200000,9999,9999,None
COHT1,CORDELL HULL HEADWATER,36.291666666667,-85.938888888889,0.21,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
BCB,VA TECH AIRPORT,37.2075,-80.408333333333,0.23,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
HNTT1,Hunters Point,36.299166666667,-86.263611111111,0.25,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
PSKT1,Pulaski TVA,35.188888888889,-87.031666666667,0.01,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
IGPV2,Wise,37.0166666666667,-82.6,0.72,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:45:00Z,1590268000000,9999,9999,None
