lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
EMGT1,ELLIS MILLS,36.310833333333,-87.554166666667,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
CLUG1,Carsonville Hwy. 19,32.721388888889,-84.2325,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
PKST1,PARKSVILLE,35.095,-84.649166666667,0.55,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1596211390000,9999,9999,None
HOPW2,BLUE BEND,37.925556,-80.265556,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
NRST1,NORRIS DAM,36.223888888889,-84.091666666667,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1590211000000,9999,9999,None
PIPW2,BLUESTONE R. AT PIPESTEM,37.543888888889,-81.010555555556,0.1,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
AVLN7,ASHEVILLE,35.609166666667,-82.578611111111,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
TZWV2,TAZEWELL RAIN GAGE (TVA),37.125833,-81.558056,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
LEBV2,LEBANON,36.9091666666667,-82.0608333333333,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1590276410000,9999,9999,None
TLPT1,TELLICO PLAINS,35.384444444444,-84.323333333333,0.03,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1589225890000,9999,9999,None
ORIV2,ORISKANY IFLOWS,37.618055555556,-79.987222222222,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
WTMV2,WHITETOP MOUNTAIN VA,36.633333333333,-81.6,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1489284800000,9999,9999,None
RBDS1,RICHARD B RUSSELL LAKE NR CALHOUN FALLS SC,34.101111111111,-82.618055555556,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
FONN7,FONTANA,35.450277777778,-83.805277777778,0.31,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
BYBV2,BONNY BLUE,36.8327777777778,-83.0755555555555,0.12,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1591286600000,9999,9999,None
CHTT1,CHARLESTON,35.281666666667,-84.773055555556,0.46,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1595217100000,9999,9999,None
MUGT1,Murfreesboro,35.902777777778,-86.43,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
MABW2,MEADOW BLUFF IFLOWS,37.909444444444,-80.667777777778,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BAMT1,KINGSPORT,36.5,-82.616666666667,0.2,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1579214200000,9999,9999,None
REDG1,Reidsville 3W,32.078333333333,-82.1775,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
AVL,ASHEVILLE REG AP,35.431944444444,-82.5375,0.13,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
ETOT1,ETOWAH,35.33,-84.520833333333,0.21,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1595252310000,9999,9999,None
ADNV2,ADNEY GAP IFLOWS,37.1125,-80.125,0.04,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
HSP,INGALLS FIELD AIRPORT,37.9513888888889,-79.8341666666667,0.04,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
